,Zipcode,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
0,95035,"79,655","5,440","5,189","4,372","3,579","4,345","6,913","7,967","6,785","5,469","5,241","5,011","4,987","4,580","3,098","2,360","1,641","1,573","1,105"
1,95132,"41,790","2,184","1,957","2,356","2,454","2,535","3,374","2,790","2,837","2,926","2,811","2,848","3,431","2,968","2,096","1,593","1,181",737,712
2,95127,"66,256","3,930","4,125","4,439","4,460","4,725","5,559","5,365","4,074","4,457","4,547","4,541","4,200","3,455","2,791","1,976","1,482","1,041","1,089"
3,95133,"28,565","1,519","1,774","1,543","1,644","1,895","2,322","2,175","1,795","1,886","1,813","2,160","1,227","2,150","1,666","1,304",652,466,574
4,95036,,,,,,,,,,,,,,,,,,,
5,95131,"31,236","1,986","1,463","1,398","1,424","2,443","2,786","3,286","2,301","2,243","2,844","1,803","2,057","1,566","1,259","1,057",675,324,321
6,95116,"55,825","4,230","4,140","4,216","3,740","4,460","4,673","4,571","3,873","4,189","3,453","3,215","2,615","2,645","1,543","1,439","1,139",723,961
7,95122,"56,121","3,456","3,820","4,266","4,423","4,204","4,837","4,076","3,981","3,814","4,012","2,997","3,077","2,631","2,373","1,571","1,159",691,733
8,95112,"62,228","3,319","2,831","2,692","5,164","9,348","6,680","4,865","4,718","3,935","3,386","3,843","2,784","2,737","2,199","1,626",794,657,650
9,95148,"48,273","2,071","2,793","3,206","3,674","3,399","3,164","2,887","2,738","3,195","3,824","3,882","3,855","3,070","2,463","1,572","1,209",658,613
10,95101,,,,,,,,,,,,,,,,,,,
11,95192,,,,,,,,,,,,,,,,,,,
12,95134,"29,349","2,360",990,584,536,"2,381","6,862","5,976","3,161","1,249","1,392","1,090","1,227",627,346,116,312,85,55
13,95103,,,,,,,,,,,,,,,,,,,
14,95106,,,,,,,,,,,,,,,,,,,
15,95108,,,,,,,,,,,,,,,,,,,
16,95109,,,,,,,,,,,,,,,,,,,
17,95115,,,,,,,,,,,,,,,,,,,
18,95150,,,,,,,,,,,,,,,,,,,
19,95151,,,,,,,,,,,,,,,,,,,
20,95152,,,,,,,,,,,,,,,,,,,
21,95153,,,,,,,,,,,,,,,,,,,
22,95154,,,,,,,,,,,,,,,,,,,
23,95155,,,,,,,,,,,,,,,,,,,
24,95156,,,,,,,,,,,,,,,,,,,
25,95157,,,,,,,,,,,,,,,,,,,
26,95158,,,,,,,,,,,,,,,,,,,
27,95159,,,,,,,,,,,,,,,,,,,
28,95160,,,,,,,,,,,,,,,,,,,
29,95161,,,,,,,,,,,,,,,,,,,
30,95164,,,,,,,,,,,,,,,,,,,
31,95170,,,,,,,,,,,,,,,,,,,
32,95172,,,,,,,,,,,,,,,,,,,
33,95173,,,,,,,,,,,,,,,,,,,
34,95190,,,,,,,,,,,,,,,,,,,
35,95191,,,,,,,,,,,,,,,,,,,
36,95193,,,,,,,,,,,,,,,,,,,
37,95194,,,,,,,,,,,,,,,,,,,
38,95196,,,,,,,,,,,,,,,,,,,
39,95113,,,,,,,,,,,,,,,,,,,
40,95110,,,,,,,,,,,,,,,,,,,
41,95140,,,,,,,,,,,,,,,,,,,
42,95054,"24,524","1,752","1,480","1,349","1,070","1,509","3,203","2,593","2,453","2,223","1,810",927,960,922,596,612,333,541,191
43,95121,"37,531","1,796","2,023","2,404","2,377","2,534","2,485","2,460","2,386","2,630","2,604","2,864","2,606","2,467","2,416","1,375",949,656,499
44,95053,"3,862",0,0,0,"3,038",777,47,0,0,0,0,0,0,0,0,0,0,0,0
45,95126,"36,206","2,013","2,000","1,597","1,555","2,703","4,775","3,998","3,203","2,510","2,119","1,962","2,454","1,798","1,269",752,551,345,602
46,95050,,,,,,,,,,,,,,,,,,,
47,94539,"54,982","2,284","4,226","4,060","3,585","2,261","2,458","2,392","3,845","4,927","5,126","4,484","4,308","3,141","2,677","1,792","1,425","1,106",885
48,95052,,,,,,,,,,,,,,,,,,,
49,95055,,,,,,,,,,,,,,,,,,,
50,95056,,,,,,,,,,,,,,,,,,,
51,95002,"2,348",207,151,115,158,201,258,188,111,98,195,186,142,81,85,68,39,41,24
52,95125,"53,155","3,719","3,177","3,252","2,330","2,341","3,156","3,637","4,109","3,502","3,576","4,032","3,946","3,505","2,837","2,123","1,415","1,064","1,434"
53,95111,"61,830","4,463","3,809","4,791","4,674","4,340","4,338","4,752","3,939","4,990","4,178","3,832","3,549","3,655","2,346","1,604","1,348",498,724
54,95128,"36,975","2,584","1,903","1,884","1,558","1,978","3,626","3,958","3,066","2,441","2,456","2,306","2,319","2,387","1,230",905,778,618,978
55,95136,"47,476","3,151","3,060","3,417","2,275","3,271","3,705","4,116","3,167","3,733","3,486","3,118","2,586","2,534","1,797","1,800",986,806,468
56,95051,"59,851","4,146","3,521","2,864","2,742","3,185","5,948","7,103","5,390","4,419","3,856","3,586","2,790","2,918","2,424","1,704","1,362",772,"1,121"
57,94586,831,35,41,39,32,23,38,37,43,35,70,80,91,108,65,28,25,33,8
58,94089,"22,882","1,585",951,848,729,"1,245","2,701","2,917","2,009","1,211","1,176","1,306","1,614","1,404","1,095",887,579,292,333
