,Zipcode,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
0,94537,,,,,,,,,,,,,,,,,,,
1,94536,"74,837","5,287","4,986","4,640","3,797","3,208","5,493","6,723","6,817","5,602","4,747","5,025","4,738","3,660","3,069","2,241","1,699","1,495","1,610"
2,94538,"67,474","4,177","3,670","3,265","3,298","3,426","7,074","7,883","5,257","5,632","4,007","4,890","4,143","3,568","2,197","1,266","1,375","1,082","1,264"
3,94560,"47,171","2,721","2,619","2,926","2,891","2,757","3,890","4,103","3,339","3,450","3,306","2,976","3,466","2,689","1,999","1,217",973,"1,061",788
4,94539,"54,982","2,284","4,226","4,060","3,585","2,261","2,458","2,392","3,845","4,927","5,126","4,484","4,308","3,141","2,677","1,792","1,425","1,106",885
5,94587,"74,722","3,922","4,018","3,823","3,737","4,692","6,357","6,482","5,789","4,885","4,762","4,947","4,962","4,425","4,177","2,944","2,053","1,156","1,591"
6,94555,"38,478","2,508","3,549","2,684","1,773","1,653","2,101","3,221","3,707","3,531","2,647","2,402","2,190","1,830","2,037","1,065",768,436,376
